deleted_file,bytes,reason
Audio Bee/.DS_Store,6148,system_artifact
Audio Bee/audio recordings/.DS_Store,8196,system_artifact
Audio Bee/audio recordings/Bulk Upload Files/.DS_Store,6148,system_artifact
Audio Bee/audio recordings/Audio_10_08_2024_21_46_12 (1).mp3,13136643,exact_duplicate_suffix_copy
Audio Bee/audio recordings/Audio_10_10_2024_12_25_37 (1).mp3,963969,exact_duplicate_suffix_copy
Audio Bee/audio recordings/Audio_10_08_2024_21_46_12 (1)^.wav,72410480,exact_duplicate_suffix_copy
Audio Bee/audio recordings/Audio_09_06_2023_11_42_33 (1).mp3,3051969,exact_duplicate_suffix_copy
Audio Bee/audio recordings/Audio_10_10_2024_12_25_37 (1)^.wav,5312152,exact_duplicate_suffix_copy
