path,bytes,mtime,ext,seen_in_pm_by_name_size,relevance_score
/Users/melissastock/Documents/Archive-Offload/logs/queue-2026-04-20-phone-cleanup-backups-verify.log,197,2026-04-20T12:26:28,.log,no,1
/Users/melissastock/Documents/Archive-Offload/logs/pilot-2026-04-20-ql-verify.log,169,2026-04-20T12:20:14,.log,no,1
/Users/melissastock/Desktop/ZG - Odyssey CMAS Parent Opt Out Form 2025-26 .pdf,83699,2026-04-09T17:45:46,.pdf,no,0
/Users/melissastock/Desktop/.localized,0,2024-05-09T13:38:48,[no_ext],no,0
/Users/melissastock/Documents/.localized,0,2024-05-09T13:38:48,[no_ext],no,0
